0,1,1440
1,1,21770
2,1,5200
3,1,1570
4,1,22650
5,1,10100
6,1,2650
7,1,3730
8,1,7980
9,1,6470
10,1,18180
11,1,8120
12,1,1050
13,1,3880
14,1,8610
15,1,4030
16,1,41680
17,1,5840
18,1,6520
19,1,10840
20,1,6800
21,1,17940
22,1,9920
23,1,17340
24,1,14150
25,1,14930
26,1,1640
27,1,5150
28,1,18290
29,1,12190
30,1,27620
31,1,10480
32,1,16040
33,1,17200
34,1,2280
35,1,3340
36,1,13640
37,1,15180
38,1,4170
39,1,5480
40,1,17890
41,1,11650
42,1,30530
43,1,750
44,1,5770
45,1,8320
46,1,32960
47,1,3710
48,1,69480
49,1,11860
50,1,2980
51,1,16090
52,1,16330
53,1,2600
54,1,2300
55,1,13630
56,1,7020
57,1,32470
58,1,16030
59,1,8080
60,1,3560
61,1,6900
62,1,14150
63,1,5990
64,1,4930
65,1,5790
66,1,5960
67,1,6130
68,1,21440
69,1,1260
70,1,24260
71,1,3520
72,1,12610
73,1,3680
74,1,20000
75,1,16310
76,1,33890
77,1,23080
78,1,11510
79,1,6720
80,1,15990
81,1,38530
82,1,6320
83,1,2760
84,1,4560
85,1,6980
86,1,4140
87,1,5580
88,1,19830
89,1,8920
90,1,4540
91,1,7010
92,1,13890
93,1,23680
94,1,15230
95,1,120
96,1,9160
97,1,9430
98,1,9560
99,1,5420
